Country Name,Continent,Physicians,Above_65,Health_Expenditure,Basic_Sanitation,Basic_Water,GDP_per_capita,Cellular_Subscriptions,cases_per_100000,deaths_per_100000
Afghanistan,Asia,,2.55425147,11.77723598,43.41761001,67.06462342,2058.400221,65.92913406,4388,285
Albania,Europe,,13.3290733,5.01059723,97.71836838,91.03922767,12770.97504,125.7103519,168,0
Algeria,Africa,1.7879,6.177204873,6.38032866,87.58657093,93.55588814,11737.41616,110.7672465,8307,113
American Samoa,Oceania,,,,54.45476038,99.77377166,,,0,0
Andorra,Europe,,,6.54431868,99.99999628,99.99999628,,104.3324113,225,0
Angola,Africa,0.2146,2.239196565,2.79150295,49.87697876,55.84290487,7310.896589,44.68610714,875,26
Antigua and Barbuda,North America,2.956,8.575231069,5.17094231,87.50428238,96.73918628,19840.28404,192.819567,10,0
Argentina,South America,3.9901,10.98970711,10.45704365,,,23597.11775,140.8771235,96194,2568
Armenia,Asia,4.4023,11.09664489,10.36270523,93.64230727,99.91337654,12115.13929,118.4642306,1271,21
Aruba,South America,,13.07347721,,,,38444.23816,,86,1
Australia,Oceania,3.6778,15.40402089,9.20544815,99.99115238,99.9699356,48482.64746,108.4417819,911,3
Austria,Europe,5.1697,18.95657332,10.38262367,99.97290961,100,54169.96399,123.1192958,2529,1
Azerbaijan,Asia,,5.989688502,3.73651457,92.51144535,91.38573994,14121.40694,102.8610548,1473,9
"Bahamas, The",North America,2.0068,7.060549305,6.83129883,94.93058233,98.8869605,36298.448,92.60913413,446,13
Bahrain,Asia,,2.372302346,4.74813128,100,100,47709.77802,158.2568089,473,2
Bangladesh,Asia,0.5433,5.149475008,2.27522182,48.23324272,97.01600557,4160.703325,94.5264735,62642,1386
Barbados,North America,2.4843,15.4109254,6.62216997,97.2793785,98.49444758,15789.04116,115.1391179,89,0
Belarus,Europe,,14.5751252,5.75974846,97.79095198,96.48397119,18280.19892,120.7921902,6552,68
Belgium,Europe,3.0709,18.58407909,10.40608311,99.4860602,100.0000033,50435.58344,99.45303522,7896,8
Belize,North America,1.1229,4.615867727,5.70125389,87.85852355,97.99257979,7108.753193,63.72026431,252,1
Benin,Africa,,3.243951472,2.6444838,16.45292057,66.41472534,3044.517156,78.50459562,80,0
Bermuda,North America,,,,99.90314002,99.90314002,81834.95587,103.0896604,8,0
Bhutan,Asia,0.4024,5.924918484,3.24491644,69.25393545,97.23338334,11142.47467,97.99614519,72,0
Bolivia,South America,,7.045878822,6.4901948,60.71693757,92.84873518,8423.697558,97.94841441,7139,201
Bosnia and Herzegovina,Europe,,15.74975571,8.93159008,95.36023531,96.14235609,13753.83205,102.6423792,117,8
Botswana,Africa,,4.086835852,6.13456821,77.26922478,90.33771336,17253.6875,146.9601556,11524,101
Brazil,South America,2.1652,8.605491994,9.46933746,88.29384941,98.19339267,14519.84955,106.4644877,264225,8210
British Virgin Islands,North America,,,,,99.86438356,,148.9096257,279,19
Brunei Darussalam,Asia,1.609,4.567781696,2.27036428,,99.90000909,60994.53156,128.3313662,29,0
Bulgaria,Europe,,20.75760119,7.45326805,86.00369811,99.10834282,21387.27664,120.1404474,643,26
Burkina Faso,Africa,0.0847,2.408630041,6.91190195,19.40208709,47.88812734,2044.386987,93.50365342,7,0
Burundi,Africa,0.1001,2.186760733,7.51763725,45.82120487,60.83054892,773.5728587,54.68367609,326,0
Cabo Verde,Africa,,4.532481981,5.36013222,73.85378676,87.08320801,6643.179891,113.909075,272,3
Cambodia,Asia,,4.410837402,5.928473,59.22696598,78.51065693,3928.373934,116.0128584,5808,163
Cameroon,Africa,,2.731397078,3.4925251,39.07555016,60.38486395,3554.521539,81.96421137,404,2
